Structure_name,Enthalpy_grid_kjmol,Henry_coeff_molkgPa,time
AMUFEV_clean_2,-25.3301,1.65296e-08,0.157544
AMUFAR_clean_2,-25.7595,2.96987e-08,0.228036
AMUFIZ_clean_2,-23.6149,1.01486e-08,0.144293
AMIXEA_clean_1,-27.621,3.19942e-08,1.04743
AFUKIX_clean_2,-18.2713,1.58136e-07,16.3912
AMUFOF_clean_2,-23.1932,4.39359e-08,0.3638
AMUPOP_clean_15,-28.323,3.89598e-08,0.69997
ANAWIX_clean_15,-21.3473,6.74121e-08,0.493423
ANENEN_clean_2,-22.9723,5.33584e-08,0.589817
ANAWOD_clean_52,-20.344,8.94694e-08,1.16046
ANEPIT_clean_2,-17.729,1.20064e-09,0.463456
ANEHEI_clean_2,-22.5043,7.64578e-08,1.4329
ANENIR_clean_1,-23.5365,5.36572e-08,1.1053
AMUXAI_clean_2,-16.746,8.08383e-08,2.62255
ANIDIL_clean_15,-24.218,2.52163e-08,1.07771
AMUWUB_clean_2,-15.1009,1.09364e-07,3.38735
AMIMEP_clean_9,-18.7953,1.12892e-07,6.00699
ANOMUM_clean_2,-18.6684,1.72307e-07,1.97369
AMILUE_clean_9,-18.8213,1.1461e-07,6.45574
AMILOY_clean_14,-19.2846,1.09782e-07,6.70036
AFUKET_clean_1,-23.1995,1.27548e-07,21.2019
AMIMAL_clean_14,-18.9863,1.12428e-07,6.8908
ANONAT_manual_2,-17.7266,1.82709e-07,2.44868
ALANAD_clean_2,-16.4448,2.08657e-07,16.3928
APACAX_clean_122,-22.5995,1.06371e-07,1.07061
ANOMOG_clean_12,-16.8936,1.80166e-07,3.5268
APARAM_clean_147,-18.9286,9.28739e-08,0.955478
APAYIB_clean_15,-22.076,1.3395e-07,1.48064
APAYOH_clean_15,-21.7694,1.34863e-07,1.55919
APAYUN_clean_15,-21.4812,1.32535e-07,1.45001
APAZOI_clean_15,-21.3769,1.15182e-07,0.990759
APEBED_clean_19,-25.7999,2.67492e-08,0.282177
APETAS_clean_13,-22.4651,7.34771e-09,0.198302
AQALIO_clean_62,-11.7723,2.39888e-09,0.172585
APEBEE_clean_2,-24.4801,7.89938e-08,0.588665
ANUGUM_clean_2,-17.1052,2.3398e-07,2.70386
AQALOU_clean_62,-11.1489,2.14973e-09,0.168492
AQAJEI_clean_60,-23.5444,1.00794e-07,1.05491
APAZAU_clean_15,-20.6972,1.5892e-07,2.47021
APAZEY_clean_15,-20.4494,1.58771e-07,2.40811
AQEQES_clean_15,-20.5301,1.12222e-07,0.30792
APEBUU_clean_15,-24.6135,4.34462e-08,1.72304
AQETIA_clean_14,-17.9678,4.35861e-09,0.163048
AQEFOS_clean_2,-18.5755,2.57936e-08,1.24024
AQEQIW_clean_14,-20.7126,1.15426e-07,0.480074
AMOFAK_clean_19,-15.3843,2.57468e-07,9.41163
AQEFUY_clean_15,-18.2933,7.06862e-08,1.37981
