,Structures,unique_chemcomp,G_2080,G_0,G_Xe_900K,G_Kr_900K,G_900K,delta_G0_298_900,delta_H0_Xe_298_900,delta_TS0_298_900,enthalpy_std_xenon,enthalpy_std_krypton,enthalpy_skew,enthalpy_modality,mean_grid_xenon,mean_grid_krypton,std_grid_xenon,std_grid_krypton,ASA_m2/cm3_1.2,delta_VF_18_20,PO_VF_2.0,D_i_vdw_uff298,delta_pore,D_f_vdw_uff298,pore_dist_mean,pore_dist_std,pore_dist_skewness,pore_dist_kurtosis,pore_dist_neff,pore_dist_modality,C%,O%,N%
3314,JEBDOK_clean,H1C102O255In51,-4.450981474509669,-6.271021012391279,3.8494935097763365,4.41671307702488,-0.5672195672485438,5.7038014451427355,0.3514999999999944,4.623501445142741,2.71394,2.44678,1.71296,0.5262229161784612,30.899,29.4181,72.4979,45.5542,1467.72,0.020500000000000004,0.1107,4.59417,0.12556534883720882,3.40586,4.468604651162791,0.1651367494680645,-5.069794004195835,26.70281124498,1.0721948390837923,1.0000000000000013,24.938875305623476,62.34718826405868,0.0
3315,JASNAT_clean,H8C403N31O124Zn31,-4.679850856841266,-5.077601607656666,-4.527082900392867,-3.179925258849429,-1.347157641543438,3.730443966113228,-0.8707000000000029,2.500243966113228,2.77022,2.28304,1.06724,0.4066549969866862,19.9819,16.5104,66.694,40.7629,1970.96,0.028600000000000014,0.2721,5.04634,0.31685282051282027,4.32632,4.72948717948718,0.2244322224753101,-0.8761475870350827,5.282250836897394,3.6392396650272496,0.33463662534164,67.50418760469012,20.770519262981576,5.192629815745394
3316,JAVNIE_clean,H16C744N620Cl62Cu93,-4.802645470031259,-5.1683887287397,-8.999659980541708,-5.9974018624786805,-3.0022581180630272,2.1661306106766727,-2.9067000000000007,1.7148306106766729,1.97358,1.82991,1.22744,0.3369700435158436,11.0474,9.85456,56.4943,33.7645,3152.58,0.06030000000000002,0.519,7.64502,0.6605315511551142,4.99557,6.9844884488448855,1.094943517252,-1.5507443890921833,3.861313977715264,1.986433856938855,0.8817744891896905,48.469055374592834,0.0,40.390879478827365
3317,JEDJUY_clean,H2C510O459K51Gd51,-5.915944419984417,-6.024782542300148,-7.996531796048602,-4.621507861320817,-3.3750239347277855,2.6497586075723625,-2.1933000000000007,1.7164586075723633,2.30542,1.86091,1.2279,0.40279130888706854,10.9686,9.90206,56.9898,34.4055,2399.26,0.03720000000000001,0.4087,5.51698,0.11432939759036209,4.51504,5.402650602409638,0.2413170904894382,-3.5084745611642894,15.3577316175292,2.071082410380365,0.8666249728668074,47.53028890959925,42.777260018639325,0.0
3318,JAVWUY_clean,H18C279S93Ag31,-5.489465361276615,-6.043103077681901,-7.015306421491981,-4.300935590609684,-2.714370830882297,3.3287322467996043,-1.9853999999999985,2.9921322467996037,2.05532,2.3719,2.13522,0.5291015769216126,15.8593,13.6124,61.5463,37.4391,2694.51,0.05349999999999999,0.3438,5.57282,0.32096814814814767,3.96663,5.251851851851852,0.4357024649744205,-1.4065981299517054,3.319401237325181,1.8614598940637728,0.8973058953197732,66.270783847981,0.0,0.0
3319,JEJKEP_clean,H217C279N31O155Co1,-6.145348617499475,-7.871411248709297,-6.233468069615289,-2.2274066745299614,-4.006061395085327,3.86534985362397,-1.664200000000001,3.0837498536239725,2.14905,2.02396,2.09396,0.5458417155791905,20.1813,18.9607,70.363,42.047,1890.0,0.036599999999999994,0.2111,5.25573,0.1997517391304351,2.91995,5.055978260869565,0.2942697659964138,-2.0528079507149526,6.491971304070455,1.7500258451359454,0.8031490341384198,40.849194729136165,22.693997071742317,4.538799414348463
3320,JEBCOJ_clean,H30C744N186O744Cu93Sm62,-5.564934633801667,-7.565930853251418,-8.761816895040063,-3.0946967022743674,-5.667120192765696,1.8988106604857222,-3.296099999999999,1.816610660485722,1.76389,1.88698,1.45895,0.3529795156275033,5.88092,7.4147,60.3843,36.4604,1347.1,0.014800000000000008,0.2422,7.22715,0.11028253012048062,5.23212,7.116867469879519,0.3328660778890831,-4.003625561059303,18.093965030347317,1.1400386135883056,0.941143503074436,40.02151694459387,40.02151694459387,10.005379236148467
3321,JEMNAR_clean,H217C279N31O155Ni1,-6.384672940150983,-7.938665037976189,-5.725461063079934,-2.0501687899316097,-3.6752922731483246,4.263372764827864,-1.342400000000005,3.216272764827867,2.2754,1.98024,1.96098,0.5428617190731526,23.8338,18.773,73.42,41.1468,1831.52,0.06880000000000003,0.2259,5.13841,0.21579693467336725,3.33866,4.922613065326633,0.3213370403449295,-1.4213847833737423,3.3469967194469965,1.7609053314953975,0.9024014528778658,40.849194729136165,22.693997071742317,4.538799414348463
3323,JADMAF_clean,H2040C2703N204O714Co2,-6.811463972870985,-7.486107749456501,-1.1244857486918787,2.5881753033967185,-3.712661052088597,3.7734466973679037,-1.7016999999999953,3.3926466973678995,2.21894,2.40458,1.61887,0.40494378660245556,20.064,19.9323,66.5522,41.4001,921.12,0.0165,0.0916,5.78081,0.2522385714285713,4.06232,5.5285714285714285,0.4499130679447786,-3.635445837068663,17.678114434556583,1.6596417281348788,0.8041845462019412,47.73088469009359,12.608158220024722,3.6023309200070632
3324,JEJKIT_clean,H434C558N62O310Co31Ni1,-6.3983994958206,-7.864357458041812,-5.802061293599374,-2.019492379728943,-3.7825689138704313,4.08178854417138,-1.4463000000000008,3.082688544171382,2.24946,1.98671,1.94963,0.5348360182762243,20.9914,19.323,70.7544,42.1118,1913.36,0.0431,0.2073,5.20967,0.1917352173913054,2.91485,5.017934782608695,0.3202479950841028,-1.6847293263261809,4.884066984283636,2.237082066869301,0.7858845743382954,39.97134670487106,22.206303724928365,4.441260744985673
3325,JEXSOV_clean,H1C124N31O372Nd62,-2.9470716005641178,-2.9151647089921027,9.945640648850272,7.897146909284728,2.0484937395655445,4.963658448557647,0.034300000000001774,3.4218584485576446,2.71383,2.2607,1.65772,0.5327705651891474,34.7777,27.7569,71.1266,40.0942,1609.88,0.03370000000000001,0.1943,4.77769,0.09218275362318806,3.35607,4.685507246376812,0.098209126644043,-6.775740734091948,47.96591861015671,1.0446516730663742,0.9779998768896636,21.016949152542374,63.05084745762712,5.254237288135593
